token0_symbol,token0_name,token1_symbol,token1_name,token0_address,token1_address,Pair_address,time,token0_reserves,token1_reserves,status
WAVAX,WAVAX,HCI,Hachi Diamond,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x56CAd4a07a19d8B9127361A66232dfEb0a03B65b,0x7AA777538b22c32988c470C099F299d35f3B4Dbb,Sat Mar  5 16:27:29 2022,815.0735591,70000.0,0
KUSH,KUSH,MIM,Magic Internet Money,0xe62ce3224Dd45e2D166B46040e686D0B9CFbFDAb,0x130966628846BFd36ff31a822705796e8cb8C18D,0xDEd8EDeda913E2e9f4f83d24E5f92916c7964Cbb,Sat Mar  5 18:39:31 2022,63.34824958,663.7522712,0
WAVAX,WAVAX,CHRO,CHRO,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xe18AF4897e0fA706Ca65ffEFef24e5F8eE1D1CEA,0xD08BB59A376810643DF3D46B159aB469309C0aDb,Sat Mar  5 20:23:57 2022,0.0,0.0,0
WAVAX,WAVAX,GHST,Ghost NET,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x70d1Fdff718C9795bde6d971De884AC7Cca83BC6,0x9E26e02ACD11e062AB1Db9fbb649B169B9BC0cE9,Sat Mar  5 20:47:25 2022,808.0554488,400000.0,0
WAVAX,WAVAX,PNPL,Pineapple Fund,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xA24330A694768E3a8AE23ceA20Cbe700Cef6bd23,0xD10cf11f4Fb00db3314b4f46Dd5a43918E5b3f77,Sat Mar  5 21:26:55 2022,807.8817666,70000.0,0
WAVAX,WAVAX,GRS,GREASE,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xc3581D4727f674B8280D04E5615CBf3F06a58CEB,0x2b00b5405428E81C743c0E667cb3aa93b997Cd45,Sat Mar  5 22:27:46 2022,70.0,1.0,0
WAVAX,WAVAX,ELNP,Elon Project,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x40a74F556725063DCA2bA0cB5A4372bc925070B0,0x4C6663Ce85e6F68C9399Dc03dF22afa8b70Dc717,Sat Mar  5 22:29:40 2022,808.2932919,600.0,0
WAVAX,WAVAX,EVBB,EVERBURNBACK,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x6a6feb0E8ED981D12435Bc4Cc9a6b7bFF52A4A62,0x5AC69c2708Fe2D2a952D498c84e2f97069D48D7e,Sat Mar  5 22:52:46 2022,0.0,0.0,0
WAVAX,WAVAX,BERRY,BerryFund,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x3061a551DBf7D621AE21070B6C52e19a33533d58,0x65eD597D5b527F17ae9fD95c963C7718a5380684,Sat Mar  5 23:27:50 2022,0.0,0.0,0
WAVAX,WAVAX,APE,Treasure Ape,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xbb4C0a5967AC38E2972E4B9130177b1aF6dDfcef,0xF1f2a012317B4e903b80402BA82e7E221468C65C,Sat Mar  5 23:28:55 2022,807.2140747,70000.0,0
WAVAX,WAVAX,BSHARE,BerrySHARE,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x60e532dbBd1a72d722D63edDAA6c598f27383e54,0x541C036549A643014712A5154067cB0dd2508C95,Sat Mar  5 23:45:07 2022,0.0,0.0,0
WAVAX,WAVAX,FLY,NO FLY ZONE,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xe6a800945310606dE25fFEf83dA5C6e271963189,0xd59d5772B56d9094E90270FAC49104a343bcEF79,Sat Mar  5 23:46:28 2022,200.0,0.0002,0
WAVAX,WAVAX,HPT,HighPoint Finance,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x1946550eC275Cf60459CfD133d36929469e5cd84,0xd780fb5132bE4736Ba738dCA6e2fe3520dc17F0E,Sun Mar  6 00:23:34 2022,0.0,0.0,0
WAVAX,WAVAX,ELN,Elon Rise,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x478867a976ec0cbaD24efd5B8aB20313C9628C28,0x54efF834F18b34b605fa2c718Bb56c89635c6726,Sun Mar  6 00:26:43 2022,817.7452192,600.0,0
WAVAX,WAVAX,FANG,Fantasy Angel,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x70CF379e3218c22225b4fc012D593e5A0e71baA1,0x7fA5562a08b29EFDDcC56f08BbeD1B0CC3543858,Sun Mar  6 09:29:06 2022,817.1669756,70000.0,0
WAVAX,WAVAX,ACME,ACME Avalanche,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xD0c893034fc04f603B1d71b00A39923342d312f4,0xC9e58f8BFf926d5883251935FA58aeb9585884b0,Sun Mar  6 09:45:05 2022,0.0,0.0,0
WAVAX,WAVAX,PAN,Panda Queen,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xbeF904955F86ab2A7941483d5aCe3AAE0658E6c3,0xA50464A9d1639c61d1aa797b0470871e26e25E12,Sun Mar  6 10:26:29 2022,817.0517289,60000.0,0
WAVAX,WAVAX,$MFM,MiniFoxyMoon,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xf578E5e021e74D43224590800dC45c449180Da6B,0x33967915a971dE423ee8668A5C89CC52fe00e00A,Sun Mar  6 11:45:44 2022,0.0,0.0,0
WAVAX,WAVAX,FOXYMOON,MiniFoxyMoon,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x41aaC63564c5a6fab58518D0cB1fD7de5f3fe739,0x7B21891FB1EC2ac2381c9ae3768164B4B2B11DC0,Sun Mar  6 11:46:15 2022,30.0,1000000000000000.0,0
WAVAX,WAVAX,FAKEXAVA,FAKEXAVA,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xfBD2945D3601f21540DDD85c29C5C3CaF108B96F,0x0317810107385A1A51eBE0E8e272463710D3Cc43,Sun Mar  6 12:07:20 2022,0.0,0.0,0
WAVAX,WAVAX,FAKESNOWY,FAKESNOWY,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xaa621D2002b5a6275EF62d7a065A865167914801,0x0Da7c1e924cd781b9b330C2E2e8088dad7B8d9C6,Sun Mar  6 12:09:14 2022,0.0,0.0,0
WAVAX,WAVAX,GLAD,Glad Token,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xCd8dfB0A29b10624362E380FFbEB051d87006846,0xfC1895A3053C9Bc83746108e193Cf21b3334B8a3,Sun Mar  6 12:12:38 2022,0.0,0.0,0
WAVAX,WAVAX,TEST,TEST,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xe53041a7A5D27c168Cb253B80B4749216F2e0AE7,0xA028AdBb44E58228591D0143ef79A4b55D0B9023,Sun Mar  6 12:13:05 2022,0.0,0.0,0
WAVAX,WAVAX,GLADSHARE,GLADSHARE,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xcF2A2A5C47595E1f78C7e314A590D0d5895FF952,0xbD0Fe347c4F74689566dE5831231607956Bc8DB4,Sun Mar  6 12:21:33 2022,0.0,0.0,0
WAVAX,WAVAX,HOTDOG,HotDog,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xC0D35EB11Ef1e191d6c661808F579572Dc14cD5D,0x7dc44F769825cA41EE45210A68E6d0D80d2636e2,Sun Mar  6 12:45:26 2022,300.0000006,20020020.04,0
WAVAX,WAVAX,VEGETA,Vegeta Inu,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xBFdeD855b3A5e8940A240254338A55E72d844F31,0xC435b00657296eA0FEDcad9C21718C3846a65724,Sun Mar  6 13:09:08 2022,0.0,0.0,0
WAVAX,WAVAX,GTHA,Glitch AVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x6C233EFE3ec911E656CbCe5B376e0B8866e3e778,0x92B891A167C984b1A450026dc0D3B46A36833F1f,Sun Mar  6 13:29:07 2022,818.6384535,8000000.0,0
WAVAX,WAVAX,SHOP,Shopify MetaMall,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xAabC158E981De006cf5edCB462B15CAB20D756f7,0x2D16E712B4409e24D5De547597511eD35879FBB1,Sun Mar  6 13:48:44 2022,500.0,0.005,0
WAVAX,WAVAX,FLUFFAVAX,FLUFFAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x1074BB6642061b61aC66518E1AD2578f8885eDb7,0x976b174A16fEb792b52246424C8AAAF95068385C,Sun Mar  6 14:19:16 2022,0.0,0.0,0
WAVAX,WAVAX,TTSHARE,TTSHARE,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xdfF4266c635896aC7475e369255dacC90cBedce7,0x8DbE43431dBa7CB06ecCFC13d32f7B35406a464f,Sun Mar  6 14:43:11 2022,0.0,0.0,0
WAVAX,WAVAX,QUAL,qual.finance,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x5534B81891632B783A5576bF0F3e2B0fB9A041c2,0x2B5899f1F3bE1b57cBf9E21D5fA3043a555cAB0B,Sun Mar  6 14:45:20 2022,0.0,0.0,0
WAVAX,WAVAX,VOLT,Fuse Nodes,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x9E8Bd057167fF3c4C2c9f3E516e3a27e4dd6AF81,0xdAe4929c819c24491a816bFDD48E26a9915A68d2,Sun Mar  6 14:51:42 2022,137.0,42.0,0
WAVAX,WAVAX,APEKING,ApeKingdom.com,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xC5DB99ed22AdB46a07dce8a4161E33F78ae2466E,0xe8D492062574eD681b22cd6C13E0bE93A8f50c84,Sun Mar  6 14:53:58 2022,0.0,0.0,0
WAVAX,WAVAX,XOMB,XOMB Token,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xcB221FF1798119898D9776505ef6B099B062a149,0xb93B8AA449024aa909b3792B3705943FBDD86e95,Sun Mar  6 14:55:28 2022,0.0,0.0,0
WAVAX,WAVAX,XSHARES,XSHARE Token,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x8636880287a433bB74023EFaE43D17f55891C5bC,0xBD6246f0D2517e7d10CbB7d8D9d3B2C3223CFB8f,Sun Mar  6 14:59:16 2022,0.0,0.0,0
WAVAX,WAVAX,RING,LOTR Dao,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0xDA68EFd31ad6dbA4F062011aBdF327e1D2F105DA,0x929b77EF5F1b63aB1A71e720297332F23ef0E396,Mon Mar  7 23:46:30 2022,170.5362484,8.8e-10,0
